college,department,course_number,pk_x_hi,pk_x_lo,pk_y_hi,pk_y_lo,professor,grade,major
ENG,Mechanical Engineering,202,0x8be9344bb8fed2bfb257a490fc6a24ae,0x70ba83c92237472c6a08373f79e4602e,0x740d68e7bc5fbdb4b871d7fbd6d3ea2a,0xb7a453237808162051b8275a0509c8bb,Dr. Bob Johnson,C+,Mechanical Engineering
CAS,Economics,101,0x561ee828ad7a2d1b7db8ef088055d29f,0xbdc3158072b4d11c0012c0520a3e8da7,0x16f88e2f9de30b0efc4bf36fc03de9f3,0x859345aadba799cde245460bb5e6b53e,Dr. Emma Davis,A,Biomedical Engineering
CAS,Mathematics,301,0x561ee828ad7a2d1b7db8ef088055d29f,0xbdc3158072b4d11c0012c0520a3e8da7,0x16f88e2f9de30b0efc4bf36fc03de9f3,0x859345aadba799cde245460bb5e6b53e,Dr. Bob Johnson,D,Biomedical Engineering
ENG,Electrical and Computer Engineering,202,0x561ee828ad7a2d1b7db8ef088055d29f,0xbdc3158072b4d11c0012c0520a3e8da7,0x16f88e2f9de30b0efc4bf36fc03de9f3,0x859345aadba799cde245460bb5e6b53e,Dr. David Brown,C-,Biomedical Engineering
CAS,Economics,301,0x561ee828ad7a2d1b7db8ef088055d29f,0xbdc3158072b4d11c0012c0520a3e8da7,0x16f88e2f9de30b0efc4bf36fc03de9f3,0x859345aadba799cde245460bb5e6b53e,Dr. Emma Davis,C-,Biomedical Engineering
CAS,English,102,0xe4034ff59fd277793f09a2f9f9df49d5,0xb1fb37a29191cb5c6d1d2c2654488e84,0x8cd9e2496cdcbfcc16ff309ec29f8885,0x81cf99d593abb04a9644463b1b2869f,Dr. David Brown,C,Systems Engineering
ENG,Mechanical Engineering,102,0xe4034ff59fd277793f09a2f9f9df49d5,0xb1fb37a29191cb5c6d1d2c2654488e84,0x8cd9e2496cdcbfcc16ff309ec29f8885,0x81cf99d593abb04a9644463b1b2869f,Dr. Emma Davis,B-,Systems Engineering
ENG,Mechanical Engineering,301,0xe4034ff59fd277793f09a2f9f9df49d5,0xb1fb37a29191cb5c6d1d2c2654488e84,0x8cd9e2496cdcbfcc16ff309ec29f8885,0x81cf99d593abb04a9644463b1b2869f,Dr. Emma Davis,B,Systems Engineering
CAS,Mathematics,101,0xe4034ff59fd277793f09a2f9f9df49d5,0xb1fb37a29191cb5c6d1d2c2654488e84,0x8cd9e2496cdcbfcc16ff309ec29f8885,0x81cf99d593abb04a9644463b1b2869f,Dr. David Brown,C-,Systems Engineering
ENG,Biomedical Engineering,302,0xf13bf17940c3b1d6c162aa61f9290eea,0x716e62c223186664a42bdf6d980a1bff,0x120dc06ae59283eb503290680f6bafe7,0x60cb558246b2f83fc60a50d8484687c6,Dr. Grace Wilson,B+,Mathematics
ENG,Mechanical Engineering,202,0xf13bf17940c3b1d6c162aa61f9290eea,0x716e62c223186664a42bdf6d980a1bff,0x120dc06ae59283eb503290680f6bafe7,0x60cb558246b2f83fc60a50d8484687c6,Dr. Bob Johnson,A-,Mathematics
ENG,Biomedical Engineering,202,0xf13bf17940c3b1d6c162aa61f9290eea,0x716e62c223186664a42bdf6d980a1bff,0x120dc06ae59283eb503290680f6bafe7,0x60cb558246b2f83fc60a50d8484687c6,Dr. Bob Johnson,C+,Mathematics
ENG,Biomedical Engineering,201,0xf13bf17940c3b1d6c162aa61f9290eea,0x716e62c223186664a42bdf6d980a1bff,0x120dc06ae59283eb503290680f6bafe7,0x60cb558246b2f83fc60a50d8484687c6,Dr. Henry Moore,B-,Mathematics
ENG,Electrical and Computer Engineering,101,0x488d47279d4f17611e0667b9e8e58cee,0xa967a2546742403414ce5e13ce486b31,0xee373fdd1b55ca30755898308fe7e915,0x1b7274c29fb17513237e217482819878,Dr. Carol Williams,A-,Mathematics
ENG,Biomedical Engineering,302,0x488d47279d4f17611e0667b9e8e58cee,0xa967a2546742403414ce5e13ce486b31,0xee373fdd1b55ca30755898308fe7e915,0x1b7274c29fb17513237e217482819878,Dr. Grace Wilson,A,Mathematics
ENG,Biomedical Engineering,202,0x488d47279d4f17611e0667b9e8e58cee,0xa967a2546742403414ce5e13ce486b31,0xee373fdd1b55ca30755898308fe7e915,0x1b7274c29fb17513237e217482819878,Dr. Bob Johnson,B+,Mathematics
CAS,Computer Science,301,0x488d47279d4f17611e0667b9e8e58cee,0xa967a2546742403414ce5e13ce486b31,0xee373fdd1b55ca30755898308fe7e915,0x1b7274c29fb17513237e217482819878,Dr. Alice Smith,C-,Mathematics
CAS,Mathematics,301,0xdd6e54bf60259b34dac992d6b2a1913d,0x317f3d7142be7cf1bcf857e23e734e49,0xb5875daec0d91c5575b2d63f65e7db69,0x3780ba54d37386e7b74d4bc3790ac0db,Dr. Bob Johnson,D,Biomedical Engineering
ENG,Electrical and Computer Engineering,202,0xdd6e54bf60259b34dac992d6b2a1913d,0x317f3d7142be7cf1bcf857e23e734e49,0xb5875daec0d91c5575b2d63f65e7db69,0x3780ba54d37386e7b74d4bc3790ac0db,Dr. David Brown,F,Biomedical Engineering
ENG,Mechanical Engineering,102,0xdd6e54bf60259b34dac992d6b2a1913d,0x317f3d7142be7cf1bcf857e23e734e49,0xb5875daec0d91c5575b2d63f65e7db69,0x3780ba54d37386e7b74d4bc3790ac0db,Dr. Emma Davis,B,Biomedical Engineering
CAS,English,202,0xdd6e54bf60259b34dac992d6b2a1913d,0x317f3d7142be7cf1bcf857e23e734e49,0xb5875daec0d91c5575b2d63f65e7db69,0x3780ba54d37386e7b74d4bc3790ac0db,Dr. David Brown,C-,Biomedical Engineering
ENG,Electrical and Computer Engineering,302,0x7b333aecca5b592bd2bda9b07d71e56c,0x96cc24f15d1b34e436432ac512d74ade,0xd2c3ce8804c1baa3e3cf1c4aea13fb64,0x2206b74d2de14dd4d77a289b5080d267,Dr. Carol Williams,D,Systems Engineering
ENG,Mechanical Engineering,201,0x7b333aecca5b592bd2bda9b07d71e56c,0x96cc24f15d1b34e436432ac512d74ade,0xd2c3ce8804c1baa3e3cf1c4aea13fb64,0x2206b74d2de14dd4d77a289b5080d267,Dr. Bob Johnson,B+,Systems Engineering
ENG,Electrical and Computer Engineering,201,0x7b333aecca5b592bd2bda9b07d71e56c,0x96cc24f15d1b34e436432ac512d74ade,0xd2c3ce8804c1baa3e3cf1c4aea13fb64,0x2206b74d2de14dd4d77a289b5080d267,Dr. Alice Smith,B-,Systems Engineering
CAS,Mathematics,202,0x7b333aecca5b592bd2bda9b07d71e56c,0x96cc24f15d1b34e436432ac512d74ade,0xd2c3ce8804c1baa3e3cf1c4aea13fb64,0x2206b74d2de14dd4d77a289b5080d267,Dr. Carol Williams,F,Systems Engineering
CAS,Computer Science,302,0xed63bcbfd786b7b8c69040892b4cdded,0x4f75e8c90bd1e835770dd9d0ba8b2d64,0x6786b4d0ec7b93879e4679d404a78f89,0xc5388d5338b6697d7bc5c6f2df9c4e85,Dr. Alice Smith,F,Biomedical Engineering
CAS,Mathematics,302,0xed63bcbfd786b7b8c69040892b4cdded,0x4f75e8c90bd1e835770dd9d0ba8b2d64,0x6786b4d0ec7b93879e4679d404a78f89,0xc5388d5338b6697d7bc5c6f2df9c4e85,Dr. Emma Davis,B-,Biomedical Engineering
ENG,Mechanical Engineering,301,0xed63bcbfd786b7b8c69040892b4cdded,0x4f75e8c90bd1e835770dd9d0ba8b2d64,0x6786b4d0ec7b93879e4679d404a78f89,0xc5388d5338b6697d7bc5c6f2df9c4e85,Dr. Emma Davis,A-,Biomedical Engineering
ENG,Systems Engineering,201,0xed63bcbfd786b7b8c69040892b4cdded,0x4f75e8c90bd1e835770dd9d0ba8b2d64,0x6786b4d0ec7b93879e4679d404a78f89,0xc5388d5338b6697d7bc5c6f2df9c4e85,Dr. Grace Wilson,B-,Biomedical Engineering
ENG,Electrical and Computer Engineering,201,0x3b95ec61c4ebd7fcb58811838e01a483,0xdcc261401ee375e4108e7b53424966b2,0xd50378f845b47ad98dee5843bcb32ec7,0xd437593dbb70121194f1e586b36a2d3e,Dr. Henry Moore,D,Electrical and Computer Engineering
CAS,English,102,0x3b95ec61c4ebd7fcb58811838e01a483,0xdcc261401ee375e4108e7b53424966b2,0xd50378f845b47ad98dee5843bcb32ec7,0xd437593dbb70121194f1e586b36a2d3e,Dr. Alice Smith,F,Electrical and Computer Engineering
CAS,Economics,102,0x3b95ec61c4ebd7fcb58811838e01a483,0xdcc261401ee375e4108e7b53424966b2,0xd50378f845b47ad98dee5843bcb32ec7,0xd437593dbb70121194f1e586b36a2d3e,Dr. Grace Wilson,D,Electrical and Computer Engineering
ENG,Systems Engineering,302,0x3b95ec61c4ebd7fcb58811838e01a483,0xdcc261401ee375e4108e7b53424966b2,0xd50378f845b47ad98dee5843bcb32ec7,0xd437593dbb70121194f1e586b36a2d3e,Dr. Bob Johnson,A-,Electrical and Computer Engineering
ENG,Systems Engineering,301,0x969dab6826807e16fdfd24520c1c1116,0x109155547e0f9179f0b0eb2bfde3de0e,0xcd65333f26d03da853660db236960633,0x98920b87a31103ce90b4f70d802e8936,Dr. Carol Williams,A,Biomedical Engineering
CAS,Mathematics,302,0x969dab6826807e16fdfd24520c1c1116,0x109155547e0f9179f0b0eb2bfde3de0e,0xcd65333f26d03da853660db236960633,0x98920b87a31103ce90b4f70d802e8936,Dr. Emma Davis,C+,Biomedical Engineering
CAS,English,201,0x969dab6826807e16fdfd24520c1c1116,0x109155547e0f9179f0b0eb2bfde3de0e,0xcd65333f26d03da853660db236960633,0x98920b87a31103ce90b4f70d802e8936,Dr. Henry Moore,B+,Biomedical Engineering
ENG,Biomedical Engineering,201,0x969dab6826807e16fdfd24520c1c1116,0x109155547e0f9179f0b0eb2bfde3de0e,0xcd65333f26d03da853660db236960633,0x98920b87a31103ce90b4f70d802e8936,Dr. Carol Williams,D,Biomedical Engineering
CAS,Economics,201,0xbf8aea19ceff546300f1af4df26ed568,0x355df8cf014c642781293431774f9bfd,0xa4e9aa952de09837f6b59a924759275c,0xed763ce3f2f70bb2d276658b37a42d81,Dr. Henry Moore,F,Biomedical Engineering
ENG,Biomedical Engineering,202,0xbf8aea19ceff546300f1af4df26ed568,0x355df8cf014c642781293431774f9bfd,0xa4e9aa952de09837f6b59a924759275c,0xed763ce3f2f70bb2d276658b37a42d81,Dr. Bob Johnson,D,Biomedical Engineering
ENG,Systems Engineering,102,0xbf8aea19ceff546300f1af4df26ed568,0x355df8cf014c642781293431774f9bfd,0xa4e9aa952de09837f6b59a924759275c,0xed763ce3f2f70bb2d276658b37a42d81,Dr. Alice Smith,C-,Biomedical Engineering
CAS,English,102,0xbf8aea19ceff546300f1af4df26ed568,0x355df8cf014c642781293431774f9bfd,0xa4e9aa952de09837f6b59a924759275c,0xed763ce3f2f70bb2d276658b37a42d81,Dr. Alice Smith,C,Biomedical Engineering
ENG,Mechanical Engineering,101,0xc895a33aaa4ff8e3778441555d5dc461,0xcbf1bf4b1eb865305e7dc9e13d78b41d,0x62f60aa9bdcdf0e74c24c31c2b59c79a,0xada870cc1d5a6370987a2d041d5cd121,Dr. David Brown,C,Economics
ENG,Electrical and Computer Engineering,202,0xc895a33aaa4ff8e3778441555d5dc461,0xcbf1bf4b1eb865305e7dc9e13d78b41d,0x62f60aa9bdcdf0e74c24c31c2b59c79a,0xada870cc1d5a6370987a2d041d5cd121,Dr. David Brown,C-,Economics
ENG,Biomedical Engineering,101,0xc895a33aaa4ff8e3778441555d5dc461,0xcbf1bf4b1eb865305e7dc9e13d78b41d,0x62f60aa9bdcdf0e74c24c31c2b59c79a,0xada870cc1d5a6370987a2d041d5cd121,Dr. Henry Moore,C,Economics
CAS,Economics,201,0xc895a33aaa4ff8e3778441555d5dc461,0xcbf1bf4b1eb865305e7dc9e13d78b41d,0x62f60aa9bdcdf0e74c24c31c2b59c79a,0xada870cc1d5a6370987a2d041d5cd121,Dr. Henry Moore,B,Economics
ENG,Biomedical Engineering,301,0x9d9dbf48416f7cfb7195d3042300d58d,0xe542a11c174a2dd82f502893884d71d1,0x2557defb858b3b38a996c01569f6d19,0xcb36a52f303d28ede581f200d91ac9a5,Dr. Emma Davis,F,Computer Science
CAS,English,101,0x9d9dbf48416f7cfb7195d3042300d58d,0xe542a11c174a2dd82f502893884d71d1,0x2557defb858b3b38a996c01569f6d19,0xcb36a52f303d28ede581f200d91ac9a5,Dr. Henry Moore,F,Computer Science
CAS,English,202,0x9d9dbf48416f7cfb7195d3042300d58d,0xe542a11c174a2dd82f502893884d71d1,0x2557defb858b3b38a996c01569f6d19,0xcb36a52f303d28ede581f200d91ac9a5,Dr. Carol Williams,D,Computer Science
CAS,Computer Science,595,0x9d9dbf48416f7cfb7195d3042300d58d,0xe542a11c174a2dd82f502893884d71d1,0x2557defb858b3b38a996c01569f6d19,0xcb36a52f303d28ede581f200d91ac9a5,Dr. Alice Smith,D,Computer Science
CAS,Economics,202,0x4a95a7ee48a152df1ff40d54c346f4d4,0xbadbf613a4d551af31e25e3eb84366a1,0x8847cb3740bb7d4e0c7d634a9cf7f521,0x88ed9a661f8219ec571e931bf50d7d0a,Dr. Carol Williams,D,English
ENG,Electrical and Computer Engineering,101,0x4a95a7ee48a152df1ff40d54c346f4d4,0xbadbf613a4d551af31e25e3eb84366a1,0x8847cb3740bb7d4e0c7d634a9cf7f521,0x88ed9a661f8219ec571e931bf50d7d0a,Dr. Carol Williams,B,English
CAS,Computer Science,301,0x4a95a7ee48a152df1ff40d54c346f4d4,0xbadbf613a4d551af31e25e3eb84366a1,0x8847cb3740bb7d4e0c7d634a9cf7f521,0x88ed9a661f8219ec571e931bf50d7d0a,Dr. Alice Smith,B-,English
CAS,Economics,301,0x4a95a7ee48a152df1ff40d54c346f4d4,0xbadbf613a4d551af31e25e3eb84366a1,0x8847cb3740bb7d4e0c7d634a9cf7f521,0x88ed9a661f8219ec571e931bf50d7d0a,Dr. Emma Davis,C,English
ENG,Electrical and Computer Engineering,302,0x99f2d73e6f71dc4d54b9324ef0f20265,0xa926361ac78b4bd3a8a497e578a5cedf,0x94a31e216ca1672916dabcde5f00dc80,0x19d146533ab301cc8409c7bea5c632e1,Dr. Carol Williams,B-,Mechanical Engineering
ENG,Mechanical Engineering,202,0x99f2d73e6f71dc4d54b9324ef0f20265,0xa926361ac78b4bd3a8a497e578a5cedf,0x94a31e216ca1672916dabcde5f00dc80,0x19d146533ab301cc8409c7bea5c632e1,Dr. Bob Johnson,B-,Mechanical Engineering
ENG,Electrical and Computer Engineering,101,0x99f2d73e6f71dc4d54b9324ef0f20265,0xa926361ac78b4bd3a8a497e578a5cedf,0x94a31e216ca1672916dabcde5f00dc80,0x19d146533ab301cc8409c7bea5c632e1,Dr. Carol Williams,B+,Mechanical Engineering
CAS,English,201,0x99f2d73e6f71dc4d54b9324ef0f20265,0xa926361ac78b4bd3a8a497e578a5cedf,0x94a31e216ca1672916dabcde5f00dc80,0x19d146533ab301cc8409c7bea5c632e1,Dr. Henry Moore,D,Mechanical Engineering
ENG,Mechanical Engineering,302,0x97ff96e41d2c09a88a43f58671acd181,0x6af6325478f87134e0a094e7d199ffab,0x8bdfbc7ca4cea20a500f420a0aae7702,0x4a0b33e7c103c8dd16aa9e6e06ca2710,Dr. Henry Moore,B-,Electrical and Computer Engineering
CAS,English,101,0x97ff96e41d2c09a88a43f58671acd181,0x6af6325478f87134e0a094e7d199ffab,0x8bdfbc7ca4cea20a500f420a0aae7702,0x4a0b33e7c103c8dd16aa9e6e06ca2710,Dr. Henry Moore,C+,Electrical and Computer Engineering
ENG,Systems Engineering,202,0x97ff96e41d2c09a88a43f58671acd181,0x6af6325478f87134e0a094e7d199ffab,0x8bdfbc7ca4cea20a500f420a0aae7702,0x4a0b33e7c103c8dd16aa9e6e06ca2710,Dr. Henry Moore,A-,Electrical and Computer Engineering
ENG,Electrical and Computer Engineering,302,0x97ff96e41d2c09a88a43f58671acd181,0x6af6325478f87134e0a094e7d199ffab,0x8bdfbc7ca4cea20a500f420a0aae7702,0x4a0b33e7c103c8dd16aa9e6e06ca2710,Dr. Carol Williams,C,Electrical and Computer Engineering
ENG,Mechanical Engineering,301,0xaf4f71aa8a36eb40680a0c29eefaed28,0x9ba456d90f74336b406103006b80b3eb,0x4e9e577e7edb5558786baeacd7687ea4,0xb60b8d801dcf36171a889d9212c83917,Dr. Emma Davis,B,Computer Science
CAS,Computer Science,202,0xaf4f71aa8a36eb40680a0c29eefaed28,0x9ba456d90f74336b406103006b80b3eb,0x4e9e577e7edb5558786baeacd7687ea4,0xb60b8d801dcf36171a889d9212c83917,Dr. Alice Smith,C+,Computer Science
CAS,Computer Science,101,0xaf4f71aa8a36eb40680a0c29eefaed28,0x9ba456d90f74336b406103006b80b3eb,0x4e9e577e7edb5558786baeacd7687ea4,0xb60b8d801dcf36171a889d9212c83917,Dr. Frank Miller,A-,Computer Science
ENG,Electrical and Computer Engineering,101,0xaf4f71aa8a36eb40680a0c29eefaed28,0x9ba456d90f74336b406103006b80b3eb,0x4e9e577e7edb5558786baeacd7687ea4,0xb60b8d801dcf36171a889d9212c83917,Dr. Carol Williams,B,Computer Science
CAS,Computer Science,202,0x2ee2906bec8f3dc428a89bd6bb778c0,0x4ea33b5b0cfbc6425979adb33ca35db0,0x753e3204b9fd4e4fea89dde23414d0c4,0xe243772c12d1fa4cebc10fa137376410,Dr. Alice Smith,C,Biomedical Engineering
CAS,Economics,301,0x2ee2906bec8f3dc428a89bd6bb778c0,0x4ea33b5b0cfbc6425979adb33ca35db0,0x753e3204b9fd4e4fea89dde23414d0c4,0xe243772c12d1fa4cebc10fa137376410,Dr. Emma Davis,C-,Biomedical Engineering
ENG,Systems Engineering,102,0x2ee2906bec8f3dc428a89bd6bb778c0,0x4ea33b5b0cfbc6425979adb33ca35db0,0x753e3204b9fd4e4fea89dde23414d0c4,0xe243772c12d1fa4cebc10fa137376410,Dr. Alice Smith,C-,Biomedical Engineering
ENG,Mechanical Engineering,301,0x2ee2906bec8f3dc428a89bd6bb778c0,0x4ea33b5b0cfbc6425979adb33ca35db0,0x753e3204b9fd4e4fea89dde23414d0c4,0xe243772c12d1fa4cebc10fa137376410,Dr. Emma Davis,D,Biomedical Engineering
CAS,English,102,0x2b48208233e3c3a70a093e4059565024,0xbaa4bb08507443d1909896f114df1403,0x159564342502b2b01818dcae05db37b,0x1b7cf6369802597c93cc134216e84cc7,Dr. David Brown,F,Electrical and Computer Engineering
CAS,Mathematics,102,0x2b48208233e3c3a70a093e4059565024,0xbaa4bb08507443d1909896f114df1403,0x159564342502b2b01818dcae05db37b,0x1b7cf6369802597c93cc134216e84cc7,Dr. Alice Smith,B,Electrical and Computer Engineering
