college,department,course_number,pk_x,pk_y,professor,grade
CAS,English,302,0x23e0b70f5ffef753e0c5b5418d54accb8aa1a54a337979c359edb65315db0197,0x09dde8ff55b89a334a0a5816186bbb39f72aca118114e61ea6574ab7c9b6001e,Dr. Henry Moore,A-
CAS,Economics,102,0x23e0b70f5ffef753e0c5b5418d54accb8aa1a54a337979c359edb65315db0197,0x09dde8ff55b89a334a0a5816186bbb39f72aca118114e61ea6574ab7c9b6001e,Dr. Carol Williams,A
CAS,Economics,202,0x180c857e1e9fefcc01724252c52e1d1a119ff5b127232ea1d50491aa7d52d937,0x1b2646f305a5e98fc5607d0266e3b5eb7678e38c39bdf74a33cbdcd54251fb4c,Dr. Emma Davis,A-
CAS,Mathematics,301,0x180c857e1e9fefcc01724252c52e1d1a119ff5b127232ea1d50491aa7d52d937,0x1b2646f305a5e98fc5607d0266e3b5eb7678e38c39bdf74a33cbdcd54251fb4c,Dr. David Brown,A
CAS,English,301,0x180c857e1e9fefcc01724252c52e1d1a119ff5b127232ea1d50491aa7d52d937,0x1b2646f305a5e98fc5607d0266e3b5eb7678e38c39bdf74a33cbdcd54251fb4c,Dr. Henry Moore,F
ENG,Electrical and Computer Engineering,201,0x180c857e1e9fefcc01724252c52e1d1a119ff5b127232ea1d50491aa7d52d937,0x1b2646f305a5e98fc5607d0266e3b5eb7678e38c39bdf74a33cbdcd54251fb4c,Dr. Frank Miller,C
CAS,Mathematics,301,0x2208c9b3e86c32a79ee00ac99d71742d52ecfc11e87faa9360998178b4824f20,0x30059561742091457132ed991febed64a26b18fadc23171487a42ec1389e6157,Dr. David Brown,D
ENG,Mechanical Engineering,301,0x2208c9b3e86c32a79ee00ac99d71742d52ecfc11e87faa9360998178b4824f20,0x30059561742091457132ed991febed64a26b18fadc23171487a42ec1389e6157,Dr. Emma Davis,F
CAS,English,201,0x2208c9b3e86c32a79ee00ac99d71742d52ecfc11e87faa9360998178b4824f20,0x30059561742091457132ed991febed64a26b18fadc23171487a42ec1389e6157,Dr. Grace Wilson,B+
ENG,Mechanical Engineering,201,0x2208c9b3e86c32a79ee00ac99d71742d52ecfc11e87faa9360998178b4824f20,0x30059561742091457132ed991febed64a26b18fadc23171487a42ec1389e6157,Dr. David Brown,C
ENG,Electrical and Computer Engineering,101,0x1efa454c29b5b777caeb9339979cd7893651b39b04ca6bcdba6244e64821e918,0x0d613a31aab18dae0e7fb8fb9fad99a369f4f67a62efafb49dfdc5ef422a067f,Dr. Carol Williams,C+
ENG,Biomedical Engineering,102,0x1efa454c29b5b777caeb9339979cd7893651b39b04ca6bcdba6244e64821e918,0x0d613a31aab18dae0e7fb8fb9fad99a369f4f67a62efafb49dfdc5ef422a067f,Dr. Carol Williams,F
ENG,Mechanical Engineering,301,0x1efa454c29b5b777caeb9339979cd7893651b39b04ca6bcdba6244e64821e918,0x0d613a31aab18dae0e7fb8fb9fad99a369f4f67a62efafb49dfdc5ef422a067f,Dr. Emma Davis,C+
CAS,Economics,101,0x1efa454c29b5b777caeb9339979cd7893651b39b04ca6bcdba6244e64821e918,0x0d613a31aab18dae0e7fb8fb9fad99a369f4f67a62efafb49dfdc5ef422a067f,Dr. Emma Davis,C+
ENG,Biomedical Engineering,102,0x282135578b99b04948d311130ff5350dbc4993e9a8e411443a8d821f474dbcbb,0x09ccac0f62976c903600d4fd6f4a40a95fd3f72aeec09413e4c741753d143acc,Dr. David Brown,C
CAS,English,101,0x282135578b99b04948d311130ff5350dbc4993e9a8e411443a8d821f474dbcbb,0x09ccac0f62976c903600d4fd6f4a40a95fd3f72aeec09413e4c741753d143acc,Dr. Henry Moore,C
ENG,Systems Engineering,301,0x282135578b99b04948d311130ff5350dbc4993e9a8e411443a8d821f474dbcbb,0x09ccac0f62976c903600d4fd6f4a40a95fd3f72aeec09413e4c741753d143acc,Dr. Henry Moore,C+
ENG,Mechanical Engineering,202,0x282135578b99b04948d311130ff5350dbc4993e9a8e411443a8d821f474dbcbb,0x09ccac0f62976c903600d4fd6f4a40a95fd3f72aeec09413e4c741753d143acc,Dr. Henry Moore,C-
CAS,Economics,101,0x216e865bab56c628e2576bae3ff284bfa3a4d1fb0527f82761b60e050c97ffe0,0x1f58aacba15747c6c167ca7c7eb36d2aa8fa3c1ca81d115580ce8af0fbcafbb7,Dr. Emma Davis,B
CAS,Mathematics,301,0x216e865bab56c628e2576bae3ff284bfa3a4d1fb0527f82761b60e050c97ffe0,0x1f58aacba15747c6c167ca7c7eb36d2aa8fa3c1ca81d115580ce8af0fbcafbb7,Dr. David Brown,B-
ENG,Electrical and Computer Engineering,202,0x216e865bab56c628e2576bae3ff284bfa3a4d1fb0527f82761b60e050c97ffe0,0x1f58aacba15747c6c167ca7c7eb36d2aa8fa3c1ca81d115580ce8af0fbcafbb7,Dr. Frank Miller,F
CAS,Economics,301,0x216e865bab56c628e2576bae3ff284bfa3a4d1fb0527f82761b60e050c97ffe0,0x1f58aacba15747c6c167ca7c7eb36d2aa8fa3c1ca81d115580ce8af0fbcafbb7,Dr. Grace Wilson,D
CAS,English,102,0x0844d5a6b51b3ead2715774a6a7dff09cab03fe7c4b3a959af14379d225af3e9,0x0f71c6e49c6485ce570fe6478a03cce047f152729fe481835d0a182ac0d63ddb,Dr. Frank Miller,B+
ENG,Mechanical Engineering,102,0x0844d5a6b51b3ead2715774a6a7dff09cab03fe7c4b3a959af14379d225af3e9,0x0f71c6e49c6485ce570fe6478a03cce047f152729fe481835d0a182ac0d63ddb,Dr. Alice Smith,B
ENG,Mechanical Engineering,301,0x0844d5a6b51b3ead2715774a6a7dff09cab03fe7c4b3a959af14379d225af3e9,0x0f71c6e49c6485ce570fe6478a03cce047f152729fe481835d0a182ac0d63ddb,Dr. Emma Davis,A-
CAS,Mathematics,101,0x0844d5a6b51b3ead2715774a6a7dff09cab03fe7c4b3a959af14379d225af3e9,0x0f71c6e49c6485ce570fe6478a03cce047f152729fe481835d0a182ac0d63ddb,Dr. Carol Williams,D
ENG,Biomedical Engineering,302,0x246eed5faca16fcd6967a096d337ac442c9a18bebae052f8d3c1e45204244abd,0x0160c982f3c42ecbc93f1f689eff734ce0c9451a63dc11e717dd7388a5ec4cb4,Dr. Emma Davis,D
ENG,Mechanical Engineering,202,0x246eed5faca16fcd6967a096d337ac442c9a18bebae052f8d3c1e45204244abd,0x0160c982f3c42ecbc93f1f689eff734ce0c9451a63dc11e717dd7388a5ec4cb4,Dr. Henry Moore,A-
ENG,Biomedical Engineering,202,0x246eed5faca16fcd6967a096d337ac442c9a18bebae052f8d3c1e45204244abd,0x0160c982f3c42ecbc93f1f689eff734ce0c9451a63dc11e717dd7388a5ec4cb4,Dr. Grace Wilson,F
ENG,Biomedical Engineering,201,0x246eed5faca16fcd6967a096d337ac442c9a18bebae052f8d3c1e45204244abd,0x0160c982f3c42ecbc93f1f689eff734ce0c9451a63dc11e717dd7388a5ec4cb4,Dr. Alice Smith,F
ENG,Electrical and Computer Engineering,101,0x11b70af6235a0321f559730cbdd8e7a778d62e504b5b97be917c145cd0a00b6a,0x1d9ccf3c8756a90d0b28874bedb84b91ed2e0f7333537e414b96971110e476da,Dr. Carol Williams,C+
ENG,Biomedical Engineering,302,0x11b70af6235a0321f559730cbdd8e7a778d62e504b5b97be917c145cd0a00b6a,0x1d9ccf3c8756a90d0b28874bedb84b91ed2e0f7333537e414b96971110e476da,Dr. Emma Davis,A
ENG,Biomedical Engineering,202,0x11b70af6235a0321f559730cbdd8e7a778d62e504b5b97be917c145cd0a00b6a,0x1d9ccf3c8756a90d0b28874bedb84b91ed2e0f7333537e414b96971110e476da,Dr. Grace Wilson,B
CAS,Computer Science,301,0x11b70af6235a0321f559730cbdd8e7a778d62e504b5b97be917c145cd0a00b6a,0x1d9ccf3c8756a90d0b28874bedb84b91ed2e0f7333537e414b96971110e476da,Dr. Carol Williams,A
CAS,Mathematics,301,0x0c6fb59daf752db81b9b5bf53b4d3c7aba3d04380a20a3c282c9c26237ca7f3a,0x26dcbc8d3df9d8d326729608e467b4992584ab591588bc474aac292821986ca2,Dr. David Brown,C
ENG,Electrical and Computer Engineering,202,0x0c6fb59daf752db81b9b5bf53b4d3c7aba3d04380a20a3c282c9c26237ca7f3a,0x26dcbc8d3df9d8d326729608e467b4992584ab591588bc474aac292821986ca2,Dr. David Brown,A-
ENG,Mechanical Engineering,102,0x0c6fb59daf752db81b9b5bf53b4d3c7aba3d04380a20a3c282c9c26237ca7f3a,0x26dcbc8d3df9d8d326729608e467b4992584ab591588bc474aac292821986ca2,Dr. Grace Wilson,C
CAS,English,202,0x0c6fb59daf752db81b9b5bf53b4d3c7aba3d04380a20a3c282c9c26237ca7f3a,0x26dcbc8d3df9d8d326729608e467b4992584ab591588bc474aac292821986ca2,Dr. Alice Smith,B
ENG,Electrical and Computer Engineering,302,0x14b169f7b65eb2fb567e009419bfeee6814c76f0da8c3bea075ab49e601844cc,0x0ebde9e03da8c89fada45e1c2b7c59b304cc8241aefb90a8e9bf472e53c83917,Dr. Carol Williams,B
ENG,Mechanical Engineering,201,0x14b169f7b65eb2fb567e009419bfeee6814c76f0da8c3bea075ab49e601844cc,0x0ebde9e03da8c89fada45e1c2b7c59b304cc8241aefb90a8e9bf472e53c83917,Dr. David Brown,A
ENG,Electrical and Computer Engineering,201,0x14b169f7b65eb2fb567e009419bfeee6814c76f0da8c3bea075ab49e601844cc,0x0ebde9e03da8c89fada45e1c2b7c59b304cc8241aefb90a8e9bf472e53c83917,Dr. Frank Miller,D
CAS,Mathematics,202,0x14b169f7b65eb2fb567e009419bfeee6814c76f0da8c3bea075ab49e601844cc,0x0ebde9e03da8c89fada45e1c2b7c59b304cc8241aefb90a8e9bf472e53c83917,Dr. Henry Moore,F
CAS,Computer Science,302,0x0da2fc967f341be21b98714830650517ba49c3f507b8fc908466bc5813faabcc,0x18f2d3c7d4a2e1cd9fde2264c6ed0b66415cdc0c3d798ff1459e62f853cbee9c,Dr. David Brown,C-
CAS,Mathematics,302,0x0da2fc967f341be21b98714830650517ba49c3f507b8fc908466bc5813faabcc,0x18f2d3c7d4a2e1cd9fde2264c6ed0b66415cdc0c3d798ff1459e62f853cbee9c,Dr. Frank Miller,A-
ENG,Mechanical Engineering,301,0x0da2fc967f341be21b98714830650517ba49c3f507b8fc908466bc5813faabcc,0x18f2d3c7d4a2e1cd9fde2264c6ed0b66415cdc0c3d798ff1459e62f853cbee9c,Dr. Emma Davis,D
ENG,Systems Engineering,201,0x0da2fc967f341be21b98714830650517ba49c3f507b8fc908466bc5813faabcc,0x18f2d3c7d4a2e1cd9fde2264c6ed0b66415cdc0c3d798ff1459e62f853cbee9c,Dr. Emma Davis,C-
ENG,Electrical and Computer Engineering,201,0x1860a98b064eea964d13c5e957acc2251c02562538cb9122eb7e87bcda7bad35,0x0c15d8385d50c48082cd18fd7e6b5acb46ac99552e6fcf26711fa035c19ae31c,Dr. Frank Miller,B
CAS,English,102,0x1860a98b064eea964d13c5e957acc2251c02562538cb9122eb7e87bcda7bad35,0x0c15d8385d50c48082cd18fd7e6b5acb46ac99552e6fcf26711fa035c19ae31c,Dr. Emma Davis,F
CAS,Economics,102,0x1860a98b064eea964d13c5e957acc2251c02562538cb9122eb7e87bcda7bad35,0x0c15d8385d50c48082cd18fd7e6b5acb46ac99552e6fcf26711fa035c19ae31c,Dr. Carol Williams,C+
ENG,Systems Engineering,302,0x1860a98b064eea964d13c5e957acc2251c02562538cb9122eb7e87bcda7bad35,0x0c15d8385d50c48082cd18fd7e6b5acb46ac99552e6fcf26711fa035c19ae31c,Dr. Grace Wilson,C
ENG,Systems Engineering,301,0x2f2dbd1d81454db08129858bbb0740b9353e4f5fe17e73ac180b1bd20ccbb7b1,0x222af7a29a96d9b985429ecd4c6a174f4ee0efd4ba978dada3ddf8f72be68a42,Dr. Henry Moore,B+
CAS,Mathematics,302,0x2f2dbd1d81454db08129858bbb0740b9353e4f5fe17e73ac180b1bd20ccbb7b1,0x222af7a29a96d9b985429ecd4c6a174f4ee0efd4ba978dada3ddf8f72be68a42,Dr. Frank Miller,C
CAS,English,201,0x2f2dbd1d81454db08129858bbb0740b9353e4f5fe17e73ac180b1bd20ccbb7b1,0x222af7a29a96d9b985429ecd4c6a174f4ee0efd4ba978dada3ddf8f72be68a42,Dr. Grace Wilson,B+
ENG,Biomedical Engineering,201,0x2f2dbd1d81454db08129858bbb0740b9353e4f5fe17e73ac180b1bd20ccbb7b1,0x222af7a29a96d9b985429ecd4c6a174f4ee0efd4ba978dada3ddf8f72be68a42,Dr. Grace Wilson,C+
CAS,Economics,201,0x1a7e39b3cc5cc12106e6015019fffaca06484a6c5d55983de5e72acc9b6a55ac,0x08b869683babf8a08ea1895387691e13b7f25bed7ffd04ccc2698403668df230,Dr. Henry Moore,B
ENG,Biomedical Engineering,202,0x1a7e39b3cc5cc12106e6015019fffaca06484a6c5d55983de5e72acc9b6a55ac,0x08b869683babf8a08ea1895387691e13b7f25bed7ffd04ccc2698403668df230,Dr. Grace Wilson,B-
ENG,Systems Engineering,102,0x1a7e39b3cc5cc12106e6015019fffaca06484a6c5d55983de5e72acc9b6a55ac,0x08b869683babf8a08ea1895387691e13b7f25bed7ffd04ccc2698403668df230,Dr. Bob Johnson,F
CAS,English,102,0x1a7e39b3cc5cc12106e6015019fffaca06484a6c5d55983de5e72acc9b6a55ac,0x08b869683babf8a08ea1895387691e13b7f25bed7ffd04ccc2698403668df230,Dr. Emma Davis,C
ENG,Mechanical Engineering,101,0x1ed031681ec355139e49235e2a6009fddb0b3a7097efd5ad8ac74856e25afeb0,0x2ced0aead6dce4dbda8f99cbc9b60688c15e47f01c5cd6195e93cde6d5b7637b,Dr. David Brown,B+
ENG,Electrical and Computer Engineering,202,0x1ed031681ec355139e49235e2a6009fddb0b3a7097efd5ad8ac74856e25afeb0,0x2ced0aead6dce4dbda8f99cbc9b60688c15e47f01c5cd6195e93cde6d5b7637b,Dr. Frank Miller,C+
ENG,Biomedical Engineering,101,0x1ed031681ec355139e49235e2a6009fddb0b3a7097efd5ad8ac74856e25afeb0,0x2ced0aead6dce4dbda8f99cbc9b60688c15e47f01c5cd6195e93cde6d5b7637b,Dr. Bob Johnson,C-
CAS,Economics,201,0x1ed031681ec355139e49235e2a6009fddb0b3a7097efd5ad8ac74856e25afeb0,0x2ced0aead6dce4dbda8f99cbc9b60688c15e47f01c5cd6195e93cde6d5b7637b,Dr. Emma Davis,B+
ENG,Biomedical Engineering,301,0x1e1d236fae42f0ea3892ea921e841af332e9e2a9aee297be964064a97347ae97,0x046c4bea31021615bc4d6684e0a1fd47fd44bcac95c1fd7aedeb1d9c48695bc3,Dr. Henry Moore,B
CAS,English,101,0x1e1d236fae42f0ea3892ea921e841af332e9e2a9aee297be964064a97347ae97,0x046c4bea31021615bc4d6684e0a1fd47fd44bcac95c1fd7aedeb1d9c48695bc3,Dr. Henry Moore,A-
CAS,English,202,0x1e1d236fae42f0ea3892ea921e841af332e9e2a9aee297be964064a97347ae97,0x046c4bea31021615bc4d6684e0a1fd47fd44bcac95c1fd7aedeb1d9c48695bc3,Dr. Henry Moore,F
CAS,Computer Science,595,0x1e1d236fae42f0ea3892ea921e841af332e9e2a9aee297be964064a97347ae97,0x046c4bea31021615bc4d6684e0a1fd47fd44bcac95c1fd7aedeb1d9c48695bc3,Dr. Emma Davis,C
CAS,Economics,202,0x03c311af821a5661e418a2efb26dc39653624de141c6eb4cffe27c940c1782dc,0x1eadff907c4addaf9c5466e4474a9754b49eda82aaaec40804b146ae6055c09a,Dr. David Brown,C
ENG,Electrical and Computer Engineering,101,0x03c311af821a5661e418a2efb26dc39653624de141c6eb4cffe27c940c1782dc,0x1eadff907c4addaf9c5466e4474a9754b49eda82aaaec40804b146ae6055c09a,Dr. Carol Williams,B+
CAS,Computer Science,301,0x03c311af821a5661e418a2efb26dc39653624de141c6eb4cffe27c940c1782dc,0x1eadff907c4addaf9c5466e4474a9754b49eda82aaaec40804b146ae6055c09a,Dr. Alice Smith,A-
CAS,Economics,301,0x03c311af821a5661e418a2efb26dc39653624de141c6eb4cffe27c940c1782dc,0x1eadff907c4addaf9c5466e4474a9754b49eda82aaaec40804b146ae6055c09a,Dr. Grace Wilson,B+
ENG,Electrical and Computer Engineering,302,0x253340b289dee88eab235ec175f3788a082af6db6c969328dfbd85151bf716df,0x014670b3c44ba640dcf0980516d78301d035c6adc949a5d9b91b37a181823580,Dr. Carol Williams,B+
ENG,Mechanical Engineering,202,0x253340b289dee88eab235ec175f3788a082af6db6c969328dfbd85151bf716df,0x014670b3c44ba640dcf0980516d78301d035c6adc949a5d9b91b37a181823580,Dr. Henry Moore,C
ENG,Electrical and Computer Engineering,101,0x253340b289dee88eab235ec175f3788a082af6db6c969328dfbd85151bf716df,0x014670b3c44ba640dcf0980516d78301d035c6adc949a5d9b91b37a181823580,Dr. Carol Williams,B-
CAS,English,201,0x253340b289dee88eab235ec175f3788a082af6db6c969328dfbd85151bf716df,0x014670b3c44ba640dcf0980516d78301d035c6adc949a5d9b91b37a181823580,Dr. Grace Wilson,A
ENG,Mechanical Engineering,302,0x19710d229bd051398be1fa2c66f662276a94b0c24c12b8423686f03e0be95cfb,0x1205f0bdfa7c15582745a03ef77b9e830ba06acafedbcab73eaafd63cd44d8fd,Dr. Frank Miller,A
CAS,English,101,0x19710d229bd051398be1fa2c66f662276a94b0c24c12b8423686f03e0be95cfb,0x1205f0bdfa7c15582745a03ef77b9e830ba06acafedbcab73eaafd63cd44d8fd,Dr. Bob Johnson,A
ENG,Systems Engineering,202,0x19710d229bd051398be1fa2c66f662276a94b0c24c12b8423686f03e0be95cfb,0x1205f0bdfa7c15582745a03ef77b9e830ba06acafedbcab73eaafd63cd44d8fd,Dr. Henry Moore,C+
ENG,Electrical and Computer Engineering,302,0x19710d229bd051398be1fa2c66f662276a94b0c24c12b8423686f03e0be95cfb,0x1205f0bdfa7c15582745a03ef77b9e830ba06acafedbcab73eaafd63cd44d8fd,Dr. Carol Williams,D
ENG,Mechanical Engineering,301,0x0ad58a08ced4d885cae2b878f86b4a197be965c56eaf475982bd70adfdac4327,0x00c118285e2787e1006b2ef3a8bead21ffdfbcc0dd5abbaa09feefbecd69d53c,Dr. Emma Davis,F
CAS,Computer Science,202,0x0ad58a08ced4d885cae2b878f86b4a197be965c56eaf475982bd70adfdac4327,0x00c118285e2787e1006b2ef3a8bead21ffdfbcc0dd5abbaa09feefbecd69d53c,Dr. Bob Johnson,F
CAS,Computer Science,101,0x0ad58a08ced4d885cae2b878f86b4a197be965c56eaf475982bd70adfdac4327,0x00c118285e2787e1006b2ef3a8bead21ffdfbcc0dd5abbaa09feefbecd69d53c,Dr. Emma Davis,D
ENG,Electrical and Computer Engineering,101,0x0ad58a08ced4d885cae2b878f86b4a197be965c56eaf475982bd70adfdac4327,0x00c118285e2787e1006b2ef3a8bead21ffdfbcc0dd5abbaa09feefbecd69d53c,Dr. Carol Williams,B+
CAS,Computer Science,202,0x10f394e934a408eb5f6454d8a206b3c15e4dd1318d3b371eaac60db7343f9652,0x2db0c0e30a851a2a5a29c2c20dd7970b5b612664c11ba2b106a70c1280bbbd8b,Dr. Bob Johnson,F
CAS,Economics,301,0x10f394e934a408eb5f6454d8a206b3c15e4dd1318d3b371eaac60db7343f9652,0x2db0c0e30a851a2a5a29c2c20dd7970b5b612664c11ba2b106a70c1280bbbd8b,Dr. Grace Wilson,C+
ENG,Systems Engineering,102,0x10f394e934a408eb5f6454d8a206b3c15e4dd1318d3b371eaac60db7343f9652,0x2db0c0e30a851a2a5a29c2c20dd7970b5b612664c11ba2b106a70c1280bbbd8b,Dr. Bob Johnson,B
ENG,Mechanical Engineering,301,0x10f394e934a408eb5f6454d8a206b3c15e4dd1318d3b371eaac60db7343f9652,0x2db0c0e30a851a2a5a29c2c20dd7970b5b612664c11ba2b106a70c1280bbbd8b,Dr. Emma Davis,F
CAS,English,102,0x1cb042b3da216fe1eaae9b15f052310719fd902981590e0db360059cbd3d6695,0x2c9422c686ceed023d88f8e98393c2ce0ee892f0190827228ccc832b8e487652,Dr. Frank Miller,D
CAS,Mathematics,102,0x1cb042b3da216fe1eaae9b15f052310719fd902981590e0db360059cbd3d6695,0x2c9422c686ceed023d88f8e98393c2ce0ee892f0190827228ccc832b8e487652,Dr. Emma Davis,A-
ENG,Systems Engineering,102,0x1cb042b3da216fe1eaae9b15f052310719fd902981590e0db360059cbd3d6695,0x2c9422c686ceed023d88f8e98393c2ce0ee892f0190827228ccc832b8e487652,Dr. Bob Johnson,B-
CAS,Mathematics,101,0x1cb042b3da216fe1eaae9b15f052310719fd902981590e0db360059cbd3d6695,0x2c9422c686ceed023d88f8e98393c2ce0ee892f0190827228ccc832b8e487652,Dr. Carol Williams,A
CAS,English,101,0x2e402cbeebd2a26230ba195ad98822192c000b2addc1bc7fa04953f985cf1449,0x2f86f9a89681297450a8c15eadfd094b215d992f6aca3d7dac8cb9dbc20d4e5b,Dr. Bob Johnson,C+
CAS,Economics,201,0x2e402cbeebd2a26230ba195ad98822192c000b2addc1bc7fa04953f985cf1449,0x2f86f9a89681297450a8c15eadfd094b215d992f6aca3d7dac8cb9dbc20d4e5b,Dr. Emma Davis,C
CAS,Computer Science,301,0x2e402cbeebd2a26230ba195ad98822192c000b2addc1bc7fa04953f985cf1449,0x2f86f9a89681297450a8c15eadfd094b215d992f6aca3d7dac8cb9dbc20d4e5b,Dr. Carol Williams,A-
CAS,Economics,202,0x2e402cbeebd2a26230ba195ad98822192c000b2addc1bc7fa04953f985cf1449,0x2f86f9a89681297450a8c15eadfd094b215d992f6aca3d7dac8cb9dbc20d4e5b,Dr. David Brown,D
ENG,Mechanical Engineering,301,0x14e80eca6e9c6e21572da02aeda5d25b704b2bd1d1181bac3f3020618c74e772,0x2732a6f4998ec97d84fe55f91608708474d94578a274603cdde539abf8848b5e,Dr. Emma Davis,C-
CAS,English,201,0x14e80eca6e9c6e21572da02aeda5d25b704b2bd1d1181bac3f3020618c74e772,0x2732a6f4998ec97d84fe55f91608708474d94578a274603cdde539abf8848b5e,Dr. Grace Wilson,A
CAS,Mathematics,301,0x14e80eca6e9c6e21572da02aeda5d25b704b2bd1d1181bac3f3020618c74e772,0x2732a6f4998ec97d84fe55f91608708474d94578a274603cdde539abf8848b5e,Dr. David Brown,B+
ENG,Biomedical Engineering,102,0x14e80eca6e9c6e21572da02aeda5d25b704b2bd1d1181bac3f3020618c74e772,0x2732a6f4998ec97d84fe55f91608708474d94578a274603cdde539abf8848b5e,Dr. David Brown,A-
ENG,Electrical and Computer Engineering,301,0x0e5fc9c405443f7c0e4b1d0414a8919c96f5c530dbe60c29f2f1f6096eede150,0x0a4fe41d27ab680d90b7f32b6e1eca73313af2a1d9fc99782d73be865341568d,Dr. Emma Davis,B-
ENG,Systems Engineering,202,0x0e5fc9c405443f7c0e4b1d0414a8919c96f5c530dbe60c29f2f1f6096eede150,0x0a4fe41d27ab680d90b7f32b6e1eca73313af2a1d9fc99782d73be865341568d,Dr. Bob Johnson,F
CAS,Computer Science,301,0x0e5fc9c405443f7c0e4b1d0414a8919c96f5c530dbe60c29f2f1f6096eede150,0x0a4fe41d27ab680d90b7f32b6e1eca73313af2a1d9fc99782d73be865341568d,Dr. Alice Smith,A
CAS,Economics,202,0x0e5fc9c405443f7c0e4b1d0414a8919c96f5c530dbe60c29f2f1f6096eede150,0x0a4fe41d27ab680d90b7f32b6e1eca73313af2a1d9fc99782d73be865341568d,Dr. Emma Davis,B-
